id	sheet_id	system	category	element	state	source_sheet	source_rect	sprite_path	size_px	has_alpha	notes
ui_inventory_item_slot_empty_01	UI-05	inventory	slot	item_slot	empty	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	44,50,241,240	res://assets/ui/inventory/sliced/slot/ui_inventory_item_slot_empty_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_item_slot_selected_01	UI-05	inventory	slot	item_slot	selected	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	282,47,232,242	res://assets/ui/inventory/sliced/slot/ui_inventory_item_slot_selected_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_item_slot_frame_occupied_01	UI-05	inventory	slot	item_slot_frame	occupied	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	522,47,219,243	res://assets/ui/inventory/sliced/slot/ui_inventory_item_slot_frame_occupied_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_slot_locked_01	UI-05	inventory	slot	slot	locked	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	765,50,251,242	res://assets/ui/inventory/sliced/slot/ui_inventory_slot_locked_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_equipment_slot_frame_normal_01	UI-05	inventory	slot	equipment_slot_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	1003,48,192,243	res://assets/ui/inventory/sliced/slot/ui_inventory_equipment_slot_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_equipment_slot_selected_01	UI-05	inventory	slot	equipment_slot	selected	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	43,288,240,232	res://assets/ui/inventory/sliced/slot/ui_inventory_equipment_slot_selected_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_safe_storage_slot_warm_white_grey_01	UI-05	inventory	slot	safe_storage_slot	warm_white_grey	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	285,284,228,232	res://assets/ui/inventory/sliced/slot/ui_inventory_safe_storage_slot_warm_white_grey_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_repaired_outpost_storage_slot_normal_01	UI-05	inventory	slot	repaired_outpost_storage_slot	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	520,286,217,232	res://assets/ui/inventory/sliced/slot/ui_inventory_repaired_outpost_storage_slot_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_container_loot_slot_dark_01	UI-05	inventory	slot	container_loot_slot	dark	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	761,285,206,230	res://assets/ui/inventory/sliced/slot/ui_inventory_container_loot_slot_dark_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_rare_item_corner_badge_rare_01	UI-05	inventory	badge	rare_item_corner_badge	rare	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	1003,285,198,232	res://assets/ui/inventory/sliced/badge/ui_inventory_rare_item_corner_badge_rare_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_material_count_badge_normal_01	UI-05	inventory	badge	material_count_badge	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	41,526,239,222	res://assets/ui/inventory/sliced/badge/ui_inventory_material_count_badge_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_durability_mini_bar_normal_01	UI-05	inventory	bar	durability_mini_bar	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	284,530,228,221	res://assets/ui/inventory/sliced/bar/ui_inventory_durability_mini_bar_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_weight_badge_normal_01	UI-05	inventory	badge	weight_badge	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	511,663,250,226	res://assets/ui/inventory/sliced/badge/ui_inventory_weight_badge_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_weight_badge_overweight_red_01	UI-05	inventory	badge	weight_badge	overweight_red	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	752,521,251,239	res://assets/ui/inventory/sliced/badge/ui_inventory_weight_badge_overweight_red_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_item_detail_panel_frame_normal_01	UI-05	inventory	panel	item_detail_panel_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	1003,521,221,239	res://assets/ui/inventory/sliced/panel/ui_inventory_item_detail_panel_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_compact_item_tooltip_frame_normal_01	UI-05	inventory	tooltip	compact_item_tooltip_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	36,785,251,251	res://assets/ui/inventory/sliced/tooltip/ui_inventory_compact_item_tooltip_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_close_button_frame_normal_01	UI-05	inventory	button	close_button_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	251,778,251,251	res://assets/ui/inventory/sliced/button/ui_inventory_close_button_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_confirm_button_frame_normal_01	UI-05	inventory	button	confirm_button_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	502,778,250,251	res://assets/ui/inventory/sliced/button/ui_inventory_confirm_button_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_secondary_button_frame_normal_01	UI-05	inventory	button	secondary_button_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	752,788,251,251	res://assets/ui/inventory/sliced/button/ui_inventory_secondary_button_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_warning_dialog_frame_warning_01	UI-05	inventory	dialog	warning_dialog_frame	warning	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	1003,790,214,251	res://assets/ui/inventory/sliced/dialog/ui_inventory_warning_dialog_frame_warning_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_drag_ghost_frame_normal_01	UI-05	inventory	frame	drag_ghost_frame	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	36,1003,251,146	res://assets/ui/inventory/sliced/frame/ui_inventory_drag_ghost_frame_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_invalid_drop_marker_invalid_01	UI-05	inventory	marker	invalid_drop_marker	invalid	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	251,1003,251,146	res://assets/ui/inventory/sliced/marker/ui_inventory_invalid_drop_marker_invalid_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_split_stack_mini_panel_normal_01	UI-05	inventory	panel	split_stack_mini_panel	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	502,1003,250,142	res://assets/ui/inventory/sliced/panel/ui_inventory_split_stack_mini_panel_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_category_filter_chip_normal_01	UI-05	inventory	chip	category_filter_chip	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	752,1003,251,219	res://assets/ui/inventory/sliced/chip/ui_inventory_category_filter_chip_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
ui_inventory_scrollbar_handle_normal_01	UI-05	inventory	scrollbar	scrollbar_handle	normal	res://assets/ui/inventory/sheets/ui_inventory_container_storage_sheet_01.png	1003,1003,212,202	res://assets/ui/inventory/sliced/scrollbar/ui_inventory_scrollbar_handle_normal_01.png	256x256	true	Grid slice from UI-05 using Doc 21 element order
