shop_id	min_shop_level	max_shop_level	item_id	min_count	max_count	weight	buy_currency_id	buy_price	enabled	enabled_version	description
base_merchant	1	3	scrap_metal	2	3	55	mine_coin	3	true	v0.3	等级1基础金属材料，研究和仓库整理常用。
base_merchant	1	3	cloth_dirty	2	3	50	mine_coin	2	true	v0.3	等级1基础布料材料，行动训练和背包改装常用。
base_merchant	1	3	rusted_bolts	1	2	38	mine_coin	3	true	v0.3	等级1常见工具材料，家用安全箱和仓库整理常用。
base_merchant	1	3	duct_tape_roll	1	2	32	mine_coin	4	true	v0.3	等级1常见固定材料，背包和仓库升级常用。
base_merchant	1	3	cracked_lens	1	2	18	mine_coin	3	true	v0.3	等级1低价光学拆件，补充基础材料池。
base_merchant	1	3	wire_coil	1	2	24	mine_coin	5	true	v0.3	等级1少量电子材料，前期研究和前哨存储会用到。
base_merchant	2	3	battery_old	1	2	28	mine_coin	6	true	v0.3	等级2旧电力材料，行动训练和仓库整理常用。
base_merchant	2	3	medicine_powder	1	3	26	mine_coin	5	true	v0.3	等级2医疗制作材料，稳定训练早期常用。
base_merchant	2	3	tool_parts	1	3	30	mine_coin	6	true	v0.3	等级2工具材料，行动训练、背包和仓库升级常用。
base_merchant	2	3	reinforced_strap	1	2	24	mine_coin	7	true	v0.3	等级2携行材料，背包和仓库升级常用。
base_merchant	2	3	pulse_battery	1	2	18	mine_coin	8	true	v0.3	等级2高阶电力材料，高级背包和仓库升级常用。
base_merchant	2	3	signal_resonator_coil	1	2	18	mine_coin	8	true	v0.3	等级2信号电子材料，前哨存储和高级背包升级常用。
base_merchant	2	3	keepsake_photo	1	1	10	mine_coin	40	true	v0.4	等级2起概率投放的A级收藏道具。
base_merchant	2	3	signal_injector	1	1	9	mine_coin	48	true	v0.4	等级2起概率投放的A级消耗道具。
base_merchant	2	3	bp_backpack_small	1	1	8	mine_coin	60	true	v0.4	等级2起概率投放的A级图纸道具。
base_merchant	2	3	sealed_medkit	1	1	7	mine_coin	70	true	v0.4	等级2起概率投放的A级医疗道具。
base_merchant	2	3	survey_drone_core	1	1	5	mine_coin	85	true	v0.4	等级2起概率投放的A级稀有道具。
base_merchant	2	3	thermal_scope_module	1	1	5	mine_coin	78	true	v0.4	等级2起概率投放的A级装备道具。
base_merchant	3	3	gold_data_chip	1	1	6	mine_coin	120	true	v0.4	等级3起概率投放的S级稀有道具。
base_merchant	3	3	blackbox_memory_core	1	1	4	mine_coin	160	true	v0.4	等级3起概率投放的S级稀有道具。
base_merchant	3	3	sanctuary_nav_chip	1	1	3	mine_coin	175	true	v0.4	等级3起概率投放的S级导航道具。
base_merchant	3	3	prefall_access_key	1	1	3	mine_coin	180	true	v0.4	等级3起概率投放的S级通行道具。
base_merchant	3	3	anomaly_heart_shard	1	1	2	mine_coin	190	true	v0.4	等级3起概率投放的S级异常道具。
